id,name,Rating,Bedrooms,Bathroom,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license,license Satuts,
1773025,Rental unit in Chicago ,4.8, 4 bedrooms , 2 baths,41.9475,-87.6542,Entire home/apt,579,1,24,7/23/2023,1,6,89,4,2446867,  Register,
1810118,Home in Chicago ,4.9, 1 bedroom , 1 private bath,41.77738,-87.60041,Private room,85,4,362,9/6/2023,3,2,154,10,R17000015592,  Register,
1837153,Rental unit in Chicago ,4.5, 1 bedroom , 1 bath,41.79989,-87.59432,Entire home/apt,115,32,58,6/20/2023,0,1,333,1,City registration pending,Not Registers,
1854000,Rental unit in Chicago ,4.6, 1 bedroom , 1 bath,41.93264,-87.64311,Entire home/apt,364,32,155,8/9/2022,1,1,365,0,R93749978238,  Register,
1921670,Rental unit in Chicago ,4.9, 2 bedrooms , 1 bath,41.94663,-87.70783,Entire home/apt,122,2,302,9/4/2023,3,8,298,28,R18000036958,  Register,
1944802,Rental unit in Chicago ,4.7, 2 bedrooms , 2 baths,41.85487,-87.62024,Entire home/apt,200,140,14,10/15/2016,0,74,365,0,City registration pending,Not Registers,
1984545,Townhouse in Chicago ,4.0, 3 bedrooms , 3.5 baths,41.81961,-87.61324,Entire home/apt,242,32,4,6/6/2017,0,6,365,0,2255946,  Register,
2011301,Home in Chicago ,4.6, 1 bedroom , 1 shared bath,41.92118,-87.68678,Private room,71,2,275,6/29/2023,2,2,79,23,R18000037035,  Register,
2062638,Condo in Chicago ,4.8, 3 bedrooms , 2 baths,41.89821,-87.6572,Entire home/apt,271,2,207,9/10/2023,2,2,342,25,2510880,  Register,
2103986,Townhouse in Chicago ,4.8, 1 bedroom , 1 shared bath,41.93338,-87.63913,Private room,75,1,159,8/28/2023,1,1,251,22,R22000091334,  Register,
2189522,Home in Chicago ,4.9, 1 bedroom , 1.5 shared baths,41.84828,-87.68021,Private room,105,2,195,9/9/2023,2,3,336,27,R20000054162,  Register,
2298310,Townhouse in Chicago ,4.9, 1 bedroom , 1 shared bath,41.80239,-87.60244,Private room,55,2,54,8/17/2023,0,20,182,11,R21000072908,  Register,
2305194,Hostel in Chicago ,4.5, 1 bedroom , 11 shared baths,41.94594,-87.65431,Private room,235,32,61,7/24/2023,1,5,108,1,2245608,  Register,
2305230,Hostel in Chicago ,4.5, 1 bedroom , 11 shared baths,41.94594,-87.65431,Shared room,30,1,422,8/22/2023,4,5,115,34,2245608,  Register,
2320027,Rental unit in Chicago ,4.6, 1 bedroom , 1 bath,41.90798,-87.68158,Entire home/apt,148,32,166,8/20/2022,1,2,0,0,R12345678901,  Register,
2396340,Rental unit in Chicago ,4.9, 3 bedrooms , 2 baths,41.89634,-87.65608,Entire home/apt,241,2,478,8/13/2023,4,24,332,35,2385048,  Register,
2479175,Rental unit in Chicago ,4.8, 1 bedroom , 1 bath,41.96316,-87.69208,Entire home/apt,91,2,256,8/22/2023,2,1,98,30,R17000017830,  Register,
2499596,Condo in Chicago ,4.8, 1 bedroom , 1.5 baths,41.90006,-87.68096,Entire home/apt,139,7,177,5/30/2023,2,2,174,6,R23000108359,  Register,
2515629,Townhouse in Chicago ,4.8, 1 bedroom , 1 private bath,41.88152,-87.69768,Private room,52,3,168,9/4/2023,2,2,242,15,R21000073422,  Register,
2519442,Condo in Chicago ,4.8, 1 bedroom , 1.5 baths,41.79606,-87.62382,Private room,80,2,110,8/20/2023,1,1,349,13,R17000013595,  Register,
2543231,Rental unit in Chicago ,4.9, 1 bedroom , 1 shared bath,41.85669,-87.65132,Private room,65,32,246,9/1/2022,2,1,179,0,City registration pending,Not Registers,
2564678,Home in Chicago ,3.7, 1 bedroom , 1.5 baths,41.85295,-87.70686,Private room,45,32,7,9/13/2021,0,4,179,0,R22000076746,  Register,
2583929,Rental unit in Chicago ,4.9, 1 bedroom , 1 bath,41.85226,-87.62299,Entire home/apt,145,60,16,6/2/2018,0,74,365,0,City registration pending,Not Registers,
2661465,Rental unit in Chicago ,4.7, 1 bedroom , 1 bath,41.88765,-87.61765,Entire home/apt,160,32,25,6/29/2018,0,74,365,0,City registration pending,Not Registers,
2679456,Serviced apartment in Chicago ,4.3, 2 bedrooms , 2 baths,41.85255,-87.62121,Entire home/apt,200,120,6,6/24/2015,0,74,365,0,City registration pending,Not Registers,
2693387,Condo in Chicago ,4.7, 3 bedrooms , 2 baths,41.91387,-87.67182,Entire home/apt,143,1,142,8/16/2023,2,2,357,12,R23000095757,  Register,
2695259,Condo in Chicago ,4.8, 3 bedrooms , 1 bath,41.93308,-87.6511,Entire home/apt,231,1,159,9/10/2023,2,1,178,9,R23000098955,  Register,
2715815,Rental unit in Chicago ,4.8, 1 bedroom , 1 bath,41.85361,-87.62434,Entire home/apt,120,32,16,12/17/2022,0,74,365,1,City registration pending,Not Registers,
2730613,Guest suite in Chicago ,4.8, 1 bedroom , 1 bath,41.68451,-87.67925,Entire home/apt,74,6,159,6/17/2023,1,2,123,15,R21000073319,  Register,
2730673,Guest suite in Chicago ,4.7, 1 bedroom , 1 bath,41.8107612,-87.60448621,Entire home/apt,93,2,55,9/4/2023,0,2,346,18,R21000075379,  Register,
2731202,Guest suite in Chicago ,4.8, 1 bedroom , 1 bath,41.68451,-87.67913,Entire home/apt,84,5,154,9/2/2023,2,2,159,10,R21000073319,  Register,
2819982,Serviced apartment in Chicago ,4.6, 2 bedrooms , 2 baths,41.85247,-87.62204,Entire home/apt,200,60,8,12/2/2016,0,74,364,0,City registration pending,Not Registers,
2824585,Home in Chicago ,4.8, 1 bedroom , 1 shared bath,41.9443,-87.79831,Private room,45,32,29,9/3/2022,0,2,333,0,R17000013486,  Register,
2832376,Rental unit in Chicago ,4.7, 1 bedroom , 1 bath,41.85434,-87.62194,Entire home/apt,135,32,7,7/7/2018,0,74,365,0,City registration pending,Not Registers,
2844042,Rental unit in Chicago ,4.9, 1 bedroom , 1 bath,41.89288,-87.68458,Entire home/apt,84,32,161,8/6/2023,1,3,305,4,R21000073802,  Register,
2874486,Rental unit in Chicago ,4.9, 2 bedrooms , 2 baths,41.90026,-87.66871,Entire home/apt,185,2,229,8/13/2023,3,2,236,40,R21000071753,  Register,
2907112,Guest suite in Chicago ,4.9, 1 bedroom , 1 private bath,41.88445,-87.65146,Private room,136,6,74,7/29/2023,1,1,310,7,R21000075167,  Register,
2907500,Home in Chicago ,4.8, 1 bedroom , 1 shared bath,41.78225,-87.72806,Private room,39,1,341,8/26/2023,3,2,345,10,R17000014945,  Register,
3031898,Condo in Chicago ,4.8, 2 bedrooms , 2 baths,41.77206,-87.56982,Entire home/apt,75,32,245,10/23/2019,2,1,348,0,City registration pending,Not Registers,
3053081,Rental unit in Chicago ,4.8, 1 bedroom , 1 bath,41.91571,-87.67449,Entire home/apt,103,2,456,9/8/2023,4,1,141,42,R22000090195,  Register,
3068787,Rental unit in Chicago ,4.9, 2 bedrooms , 2 baths,41.96136,-87.6784,Entire home/apt,160,3,146,8/28/2023,1,1,324,28,R22000080115,  Register,
3083343,Rental unit in Chicago ,4.7, 2 bedrooms , 1 bath,41.91533279,-87.67047882,Entire home/apt,282,2,126,8/15/2023,1,6,149,14,R18000036344,  Register,
3111197,Rental unit in Chicago ,4.9, 1 bedroom , 1 bath,42.00729,-87.67708,Entire home/apt,130,32,46,7/30/2023,0,1,365,1,City registration pending,Not Registers,
3172794,Home in Chicago ,4.9, 6 bedrooms , 2.5 baths,41.91634,-87.69335,Entire home/apt,1350,1,82,7/21/2023,1,10,365,12,R17000015252,  Register,
3267902,Rental unit in Chicago ,4.9, 1 bedroom , 1 bath,41.98908,-87.66697,Entire home/apt,89,2,361,9/11/2023,3,1,290,46,R23000104940,  Register,
3292054,Home in Chicago ,5.0, 3 bedrooms , 3 baths,41.94278,-87.65621,Entire home/apt,381,2,237,9/4/2023,2,2,331,32,R23000105796,  Register,
3308694,Rental unit in Chicago ,4.9, 2 bedrooms , 1 bath,41.88711,-87.6438,Entire home/apt,299,2,113,9/10/2023,1,2,309,22,R21000072734,  Register,
3329088,Condo in Chicago ,4.9, 2 bedrooms , 2 baths,41.88367,-87.70864,Entire home/apt,113,3,131,9/11/2023,1,1,352,25,R23000105070,  Register,
3385966,Rental unit in Chicago ,4.8, 2 bedrooms , 2 baths,41.93594,-87.66953,Entire home/apt,195,32,189,7/31/2023,2,1,161,5,C17000006773,  Register,
3434136,Rental unit in Chicago ,4.9, 1 bedroom , 1 bath,41.94159,-87.65099,Private room,75,32,179,7/5/2023,2,1,351,11,R17000013279,  Register,
3445991,Home in Chicago ,4.2, 1 bedroom , 1 shared bath,41.94418,-87.79895,Private room,35,32,6,4/20/2022,0,2,72,0,City registration pending,Not Registers,
3453656,Condo in Chicago ,5.0, 1 bedroom , 1 private bath,42.00146,-87.66982,Private room,75,10,41,5/24/2023,0,3,69,4,R21000073244,  Register,
3485081,Guest suite in Chicago ,4.5, Studio , 1 bath,41.90788,-87.68075,Private room,112,32,180,10/12/2021,2,2,0,0,R17000014102,  Register,
3517984,Rental unit in Chicago ,5.0, 1 bedroom , 1 private bath,41.79963,-87.59186,Private room,78,1,403,9/10/2023,4,1,131,44,R17000015187,  Register,
3590692,Rental unit in Chicago ,4.8, 1 bedroom , 1 shared bath,41.99103,-87.66166,Private room,43,20,46,7/1/2023,0,3,267,4,R18000034100,  Register,
3599882,Guest suite in Chicago ,4.9, 2 bedrooms , 1 bath,41.93699,-87.68341,Entire home/apt,132,32,133,6/11/2023,1,1,171,1,R17000014324,  Register,
3638744,Condo in Chicago ,4.8, 1 bedroom , 1 bath,41.95965,-87.72016,Entire home/apt,69,32,46,12/1/2022,0,1,228,2,R17000014762,  Register,
3639045,Guest suite in Chicago ,4.4, 1 bedroom , 1 bath,41.99595,-87.67545,Entire home/apt,65,32,5,10/3/2020,0,1,284,0,R17000015507,  Register,
3666681,Rental unit in Chicago ,4.9, Studio , 1 bath,41.88853,-87.63399,Entire home/apt,170,90,14,9/11/2019,0,74,365,0,City registration pending,Not Registers,
3696178,Condo in Chicago ,4.8, 1 bedroom , 1 shared bath,42.0222,-87.67226,Private room,68,2,69,7/31/2023,1,2,354,7,R18000034124,  Register,
3742513,Rental unit in Chicago ,4.8, 1 bedroom , 2 shared baths,42.0168,-87.68771,Shared room,20,1,154,8/9/2023,1,15,98,16,R21000075752,  Register,
3761023,Home in Chicago ,4.8, 1 bedroom , 1 bath,41.83615,-87.64638,Entire home/apt,111,3,75,8/7/2023,1,1,0,8,R23000105445,  Register,
3783533,Rental unit in Chicago ,4.9, 2 bedrooms , 1 bath,41.898048,-87.702972,Entire home/apt,131,32,361,9/4/2023,3,1,164,24,R17000018703,  Register,
